"","GDAXI.Open","GDAXI.High","GDAXI.Low","GDAXI.Close","GDAXI.Volume","GDAXI.Adjusted"
"4723",5662.68994140625,5686.43994140625,5614.2900390625,5657.1201171875,112993000,5657.1201171875
"4724",5667.18017578125,5702.759765625,5649.27978515625,5666.77978515625,93396800,5666.77978515625
"4725",5680.009765625,5699.35009765625,5630.10986328125,5672.919921875,117953600,5672.919921875
"4726",5627.75,5675.56005859375,5598.0498046875,5666.41015625,128301300,5666.41015625
"4727",5694.4599609375,5743.68017578125,5694.4599609375,5743.68017578125,114754500,5743.68017578125
"4728",5730.08984375,5745.490234375,5696.02001953125,5701.47021484375,111063300,5701.47021484375
"4729",5699.43994140625,5756.330078125,5683.8798828125,5756.330078125,103099200,5756.330078125
"4730",5759.66015625,5786.68994140625,5717.43994140625,5763.39990234375,109033400,5763.39990234375
"4731",5766.60009765625,5790.27001953125,5744.9599609375,5764.3701171875,126350400,5764.3701171875
"4732",5786.16015625,5796.7900390625,5757.25,5789.25,105175200,5789.25
"4733",5784.64013671875,5814.7900390625,5773.52001953125,5795.47998046875,109010400,5795.47998046875
"4734",5795.68017578125,5802.72021484375,5766.990234375,5793.9501953125,68231800,5793.9501953125
"4735",5798.89013671875,5850.47021484375,5780.990234375,5801.0400390625,122210200,5801.0400390625
"4736",5793.4599609375,5862.06005859375,5783.35009765625,5862.06005859375,118585600,5862.06005859375
"4737",5868.1201171875,5884.22021484375,5820.35009765625,5857.8798828125,94081400,5857.8798828125
"4738",5856.72998046875,5873.10009765625,5840.60009765625,5870.7900390625,70811300,5870.7900390625
"4739",5888.81005859375,5915.93017578125,5871.75,5915.14990234375,81833900,5915.14990234375
"4740",5908.580078125,5916.7998046875,5791.89990234375,5796.0400390625,109854600,5796.0400390625
"4741",5806.9599609375,5867.58984375,5796.41015625,5866.60986328125,103104100,5866.60986328125
"4742",5862.35986328125,5885.72998046875,5749.06005859375,5783.490234375,151466500,5783.490234375
"4743",5771.330078125,5811.47998046875,5691.2099609375,5721.4599609375,116723600,5721.4599609375
"4744",5742.06982421875,5768.97998046875,5726.58984375,5754.06005859375,136912000,5754.06005859375
"4745",5732.5400390625,5750.85009765625,5698.06005859375,5739.27978515625,120090400,5739.27978515625
"4746",5745.3798828125,5763.27001953125,5664.18994140625,5673.35986328125,128536100,5673.35986328125
"4747",5711.02001953125,5741.830078125,5693.2998046875,5732.22021484375,109367600,5732.22021484375
"4748",5715.2998046875,5804.9501953125,5708.7900390625,5804.919921875,95419600,5804.919921875
"4749",5820.740234375,5859.919921875,5807.60986328125,5855.16015625,104874800,5855.16015625
"4750",5841.43017578125,5870.8798828125,5823.6298828125,5870.8798828125,114571000,5870.8798828125
"4751",5885.5,5905.830078125,5869.509765625,5898.47998046875,127633200,5898.47998046875
"4752",5906.2998046875,5909.5,5867.3701171875,5897.7900390625,103842100,5897.7900390625
"4753",5906.35986328125,5947.43017578125,5862.0400390625,5882.3798828125,197499000,5882.3798828125
"4754",5895.77978515625,5932.4599609375,5884.330078125,5902.7900390625,83363200,5902.7900390625
"4755",5900.83984375,5911.85986328125,5847.89990234375,5911.85986328125,100284700,5911.85986328125
"4756",5883.08984375,5949.14990234375,5859.52001953125,5932.31005859375,121498700,5932.31005859375
"4757",5941.77978515625,5960.02001953125,5922.02978515625,5947.10986328125,140390000,5947.10986328125
"4758",5956.35009765625,5977.06005859375,5941.240234375,5973.14013671875,166691200,5973.14013671875
"4759",5972.14990234375,5976.6298828125,5910.89013671875,5912.259765625,102626800,5912.259765625
"4760",5914.64990234375,5940.58984375,5863.06982421875,5890.6298828125,107796500,5890.6298828125
"4761",5893.27001953125,5921.1201171875,5868.2099609375,5914.77978515625,124427200,5914.77978515625
"4762",5943.47021484375,5993.4501953125,5936.31005859375,5984.18994140625,120245900,5984.18994140625
"4763",5972.02978515625,5993.89990234375,5942.8798828125,5970.080078125,105929000,5970.080078125
"4764",5989.080078125,6028.14013671875,5978.4599609375,6024.0498046875,85183000,6024.0498046875
"4765",6015.3701171875,6024.66015625,5992.89013671875,6013.85009765625,93134000,6013.85009765625
"4766",6013.89013671875,6035.669921875,5995.77001953125,6029.2001953125,109968200,6029.2001953125
"4767",6033.68994140625,6047.97998046875,6008.56005859375,6031.39013671875,109637700,6031.39013671875
"4768",6028.330078125,6045.25,5947.56005859375,5952.919921875,112183900,5952.919921875
"4769",5951.080078125,6004.7099609375,5943.1201171875,6003.39990234375,78738900,6003.39990234375
"4770",6000.10986328125,6000.759765625,5895.0400390625,5908.47021484375,126666100,5908.47021484375
"4771",5907.91015625,5917.27978515625,5860.5,5901.25,113175400,5901.25
"4772",5909.81982421875,5925.39990234375,5873.580078125,5918.56982421875,89156700,5918.56982421875
"4773",5915.10986328125,5917.83984375,5866.85009765625,5902.580078125,87556900,5902.580078125
"4774",5935.41015625,5996.60009765625,5935.41015625,5993.759765625,115498800,5993.759765625
"4775",6000.31982421875,6089.2998046875,5996.5,6063.27978515625,132447800,6063.27978515625
"4776",6070.85986328125,6108.68994140625,6069.3798828125,6094.75,118842900,6094.75
"4777",6058.75,6094.830078125,6034.85986328125,6079.08984375,171732100,6079.08984375
"4778",6084.7998046875,6111.2998046875,6051.60986328125,6078.7998046875,125819200,6078.7998046875
"4779",6089.81982421875,6121.9501953125,6081.9501953125,6107.1201171875,129323200,6107.1201171875
"4780",6104.27978515625,6113.080078125,6021.27001953125,6067.740234375,172955800,6067.740234375
"4781",6061.5,6061.5,6003.91015625,6009.89013671875,138317700,6009.89013671875
"4782",6014.3798828125,6056.27001953125,6006.8701171875,6051.2900390625,128906600,6051.2900390625
"4783",6054.64013671875,6079.7998046875,5962.85986328125,5968.9599609375,146415000,5968.9599609375
"4784",5980.490234375,6040.7001953125,5968.68017578125,6039.31982421875,177623000,6039.31982421875
"4785",6049.25,6113.2900390625,6045.830078125,6113.2900390625,111278000,6113.2900390625
"4786",6126.9599609375,6153.47021484375,6118.97998046875,6127.97998046875,107181300,6127.97998046875
"4787",6128.009765625,6142.02001953125,6100.0400390625,6140.72021484375,132973300,6140.72021484375
"4788",6119.10986328125,6157.9599609375,6110.4501953125,6118.3798828125,153291300,6118.3798828125
"4789",6122.009765625,6162.3701171875,6047.43017578125,6054.72021484375,185066200,6054.72021484375
